id,cs,texto
1,1,#URGENTE 1167 casos confirmados de coronavirus en El Oro. 184 fallecidos por COVID-19 en la provincia. https://t.co/20jTWWuyL4
2,1,Dirigencia confirmó primer positivo por COVID-19 en #BarcelonaSC ? https://t.co/7wYM5CKkOI https://t.co/t3PWYrIQ0A
3,1,"Contrario a las estadísticas mundiales"""" el 71""""7 % de los contagiados por COVID-19 en Venezuela son jóvenes. ¿Cuáles son la razones??? https://t.co/2rhT7zTpE6"
4,1,"Ecuador registra hasta este lunes"""" 1 de junio del 2020"""" 5 529 fallecidos en el contexto del covid-19 en el país: 3 394 son muertes confirmadas por el nuevo  coronavirus y otras 2 135 por sospecha de la enfermedad.  Además"""" el Gobierno confirmó que hay ya 40 000 casos positivos. https://t.co/hCs3FBmQuy"
5,1,"El ministro de Salud (@DrJuanCZevallos) dijo que las islas de San Cristóbal y Santa Cruz"""" en #Galápagos"""" han sido declaradas como libres de #coronavirus. » https://t.co/nwhc5lPvJx #COVID_19"
6,1,El Fondo de Inversión Directa de Rusia (#RDIF por su sigla en inglés) dijo que el Ministerio de Salud aprobó el fármaco #Avifavir para el tratamiento de covid-19.   RDIF dijo que Avifavir había demostrado ser altamente efectivo en el tratamiento de pacientes con coronavirus. https://t.co/d34oTlYMBG
7,1,"?? #ATENCIÓN | #ECUADOR El ministro de Salud"""" Juan Carlos Zevallos"""" anunció que dos cantones de Galápagos están libres de coronavirus #Covid19. Aquí los detalles &gt"
8,1,Dirigencia confirmó primer positivo por COVID-19 en Barcelona SC https://t.co/4WLnx9jFrR
9,1,"#WQEntretenimiento | Madonna aseguró haber tenido coronavirus"""" sin saberlo ella y su equipo de trabajo tuvieron el virus durante su gira en París. Informó que se enteró del contagio por una prueba que reveló que tenía anticuerpos de Covid-19. Ahora"""" ella y su equipo están bien. https://t.co/S5j7ZkBFCF"
10,1,"#Espejo | Con el objetivo de evitar el incremento de casos de coronavirus en la población"""" la dirección distrital 04d03 Espejo-Mira"""" recibe 300 pruebas rápidas para covid 19 por parte del GAD Espejo.  #YoSoyMSP https://t.co/ywqki00hWp"
